creer;glauben
completa (inf: completar);vervollständige
la ficha;Karteikarte 
compara (inf: comparar);vergleiche
el/la habitante;Einwohner/in
el / la ciudadano/-a;Bürger/in 
extranjero/-a;ausländisch
la temperatura media;Durchschnittstemperatur
oficial;offiziell
el kilómetro;Kilometer
el carril bici ;Fahrradweg
la bici(cleta);Fahrrad
la razón;Grund
a antiguo/-a;alt
aburrido/-a;langweilig
verde;grün
el clima;Klima
el invierno;Winter
suave;mild
la media ;Durchschnitt, Mittelwert
el grado;Grad
hay (haber);es gibt
la hora de sol;Sonnenstunde
la hora;Stunde
el día de luz;Sonnentag
al año;pro Jahr, jährlich 
aunque;"obwohl; selbst wenn "
moverse (ue);sich bewegen
el tráfico;Verkehr
un buen sistema;ein gut funktionierendes System
el transporte público;öffentlicher Nahverkehr 
conectado/-a;verbunden, angeschlossen
el tren;Zug
por ejemplo;zum Beispiel
Si;wenn
el edificio;Gebäude 
emblemático/-a;emblematisch, sinnbildlich, prägend
la lonja;Auktionshaus, Warenbörse
el mercado;Markt
por supuesto;selbstverständlich
todo un símbolo;ein Symbol schlechthin
amplio/-a;weit, breit 
cultural;kulturell
la opción;Option, Möglichkeit
el tiempo libre;Freizeit
el espectáculo;Vorstellung, Schauspiel 
de todo tipo;jeglicher Art
el local;Lokal
salir por la noche;abends ausgehen
salir (g);(hinaus)gehen
el / la amante;Liebhaber/in
practicar deporte;Sport treiben
al aire libre;an der frischen Luft
probar (ue);(aus)probieren
la horchata;Erdmandelmilch
tradicional;traditionell
mediterráneo/-a;Mittelmeer-
situado/-a;gelegen
excepcional;außergewöhnlich
el mar;Meer
la montaña;Berg, Gebirge
la arena;Sand 
blanco/-a;weiß
la zona natural;Naturraum, naturbelassene Gegend
la zona;Zone, Gegend 
como;wie
el parque natural;Naturpark, Naturschutz-park, Naturschutzgebiet
el lago;See
¿Y qué decir de...?;Und was lässt sich nicht alles zu ... sagen?
decir (i, g) ;sagen
el jardín;Garten
pasear;spazieren gehen
busca (inf: buscar);suche
el texto;Text
la categoría;Bereich, Kategorie 
elige (inf: elegir);wähle
el motivo;Grund, Beweggrund
el destino;Zielort
marca (inf: marcar);markiere
para ti;für dich
la zona verde;Grünfläche, Grünanlage 
amable;liebenswürdig 
lee (inf: leer);lies 
otra vez;nochmals
la tabla;Tabelle
alguno/-a;irgendein/e/r
varios/-as;verschiedene, mehrere 
relacionar;verbinden
atractivo/-a;attraktiv
escucha (inf: escuchar);höre zu
¿En qué orden...? ;In welcher Reihenfolge ...?
dar recomendaciones;Empfehlungen geben
desconectar ;abschalten
 la columna ;Spalte
comprobar (ue);überprüfen
el bar de copas ;Cocktailbar
el concierto;Konzert
el barrio;Stadtviertel
la plaza de toros;Stierkampfarena
conocer (zc);kennen
tomar una decisión ;eine Entscheidung treffen 
por excelencia;schlechthin
el alquiler ;Miete
la habitación;Zimmer 
unos/-as (vor Zahlenangaben);ungefähr
tanto como ;so viel wie
el comercio ;Geschäft, Gewerbe 
la vida social;soziales Leben, Gesell-schaftsleben 
lejos (de);weit (von)
el tranvía ;Straßenbahn
el autobús;Bus
Es verdad. ;Es ist wahr.
la verdad;Wahrheit
tanto/-a... como;so viel/e ... wie 
sin embargo ;jedoch, trotzdem
la tradición ;Tradition
los edificios más famosos;die berühmtesten Gebäude
la tienda de ropa;Bekleidungsgeschäft
innovador;innovativ, innovationsfreudig 
a partir de el norte;ab Norden 
auténtico/-a;echt, authentisch 
a cambio ;dafür, im Austausch 
más baratos que ;billiger als 
entre ;zwischen 
el verano;Sommer
la tranquilidad;Ruhe
referirse (ie) a ;sich beziehen auf 
menos estudiantes que ;weniger Studenten als
tan... como;so ... wie
costar (ue);kosten
explica (inf: explicar);erkläre
la lista ;Liste
la tarea;Aufgabe
correspondiente;entsprechend
abrir una cuenta ;ein Konto eröffnen
la clase de yoga;Yoga-Unterricht
empadronarse;sich (beim Einwohnermeldeamt) anmelden
el bono de transporte;Monatskarte für den Nahverkehr
recoger;abholen
enviar ;schicken
el paquete;Paket
la cita para el médico;Arzttermin
el / la médico/-a ;Arzt / Ärztin
el ayuntamiento;Rathaus
el banco;Bank
el gimnasio;"Fitnessstudio; Turnhalle"
el centro de salud;Gesundheitszentrum
Correos ;Post(amt)
el estanco;Tabakladen
el establecimiento;Geschäft, Laden, Einrichtung
gratis ;gratis, umsonst 
el descuento ;(Preis-)Nachlass 
por eso ;deshalb 
asignar ;zuweisen, zuteilen
el supermercado;Supermarkt
todo el día;den ganzen Tag
igual;gleich
hacer (g) la compra;den Einkauf machen, einkaufen gehen
ver una película ;einen Film schauen
venir (g, ie);kommen
llegar;(an)kommen
la forma de llegar;Anfahrtsmöglichkeit, Anreisemöglichkeit 
sostenible ;nachhaltig 
a pie;zu Fuß 
ecológico/-a ;ökologisch 
la hora punta;Stoßzeit, Hauptverkehrszeit 
saludable;gesund
el trayecto;Strecke, Weg 
silencioso/-a;leise, lautlos 
limpio/-a;sauber
el medio de transporte;Verkehrsmittel 
ir (yo voy);gehen, fahren
la distancia;Entfernung
tomar el autobús / el metro;den Bus / die U-Bahn nehmen
la línea;Linie
el coche;Auto
compartir viaje;Mitfahrgelegenheit bieten / nutzen
la página web;Website
la definición ;Definition 
contaminar;verunreinigen, verschmutzen
causar ;verursachen
el ruido;Lärm
primero;zuerst
luego;danach
al final;am Ende, schließlich 
bajar ;aussteigen 
la parada;Haltestelle
la estación;Station 
tener (g, ie) que + inf ;müssen
cambiar;umsteigen 
identifica (inf: identificar);finde und bestimme
el plano ;Plan
la planta ;Etage
la planta baja ;Erdgeschoss
el salón de actos;Audimax
el decanato;Dekanat
(la oficina de) relaciones internacionales;Akademisches Auslandsamt
la secretaría;Sekretariat
la entrada ;Eingang
la primera planta ;erstes Obergeschoss
la sala de estudios ;Studiensaal, Lernraum
la fotocopiadora;Fotokopierer
los servicios ;Toiletten
la escalera ;Treppe
el ascensor ;Aufzug
la zona wifi ;WLAN-Bereich
la conserjería;Hausmeisterloge, Pförtnerei 
di (inf: decir);sage 
a la derecha (de);rechts (von) 
enfrente (de);gegenüber (von) 
segundo/-a;zweite/r/s 
tercero/-a;dritte/r/s 
cuarto/-a;vierte/r/s 
fijate (en) (inf: fijarse);achte auf 
la expresión ;Ausdruck 
en negrita ;fett gedruckt 
a la izquierda (de);links (von) 
detrás (de);(da)hinten 
delante (de);(da)vorne 
al lado (de);(da)neben
¿Para ir a...? ;Wie kommt man nach ...?
por favor;bitte
Perdona.;Entschuldige bitte.
perdonar;entschuldigen
Ove. (inf: oír);Hör mal.
oír (g);hören
girar;abbiegen
cruzar ;überqueren
el patio ;Hof
subir (a);hinaufgehen 
seguir (i);weitergehen
hasta ;bis
el final;Ende
bajar;hinuntergehen
mostrar (ue);zeigen
¿Cuándo? ;Wann?
tener (g, ie) clases ;Unterricht haben 
de visita ;zu Besuch
la psicología ;Psychologie
el plato combinado;ein einziger Teller mit verschiedenen Gerichten
(el) junio;Juni
(el) octubre;Oktober
hablar por teléfono ;telefonieren
haz (inf: hacer);mache
hacer (g) preguntas;Fragen stellen
la localización;Standort
la norma ;Norm, Richtlinie, Vorschrift
la costumbre;Gewohnheit, Brauch
el desierto;Wüste
llueve (inf: llover);es regnet 
el centro histórico ;historisches Stadtzentrum
el Patrimonio de la Humanidad;Welterbe
la costa;Küste
el /la más usado/-a;der / die / das meist verwendete
diario/-a;täglich
principal;Haupt-
la ciclovía (LA);Radweg
actualmente;zurzeit
interconectado/-a;verknüpft, untereinander verbunden
el auto (LA);Auto
la ventaia;Vorteil
el medio ambiente;Umwelt
promocionar;fördern, werben für
organizar;organisieren
todos los domingos;jeden Sonntag
la avenida;Allee, breite Straße
el/la ciclista;Radfahrer/in
la idea es ;es geht darum
transformar;verwandeln
caminar;gehen, wandern