para empezar;um zu beginnen 
¿Cómo te llamas?;Wie heißt du?
a Buenos días.;Guten Morgen. Guten Tag. 
me llamo ;ich heiße (wörtlich: ich nenne mich)
soy ; ich bin
el /la profesor/a de español;Spanischlehrer/in
el español;Spanisch
Hola.;Hallo.
Buenas tardes.;Guten Tag. Guten Abend.
la tarde;Nachmittag
¿y usted?;und Sie?
y;und
¿Cómo está? ;Wie geht es Ihnen?
bien;gut
gracias;danke
¿Qué tal?;Wie geht's?
tú;du
Buenas noches.;Guten Abend. Gute Nacht.
la noche;Nacht
¿Cómo se llama usted?;Wie heißen Sie?
regular;"mittelmäßig; hier: es geht"
carreras universitarias;Universitatslaurbahn, Studium
a las ciencias sociales;Sozialwissenschaften
la ciencia ;Wissenschaft
las ciencias jurídicas;Rechtswissenschaften
el derecho;Recht, Jura
el trabajo social ;Sozialarbeit
las relaciones laborales;Unternehmensorganisation, Personalwesen
la relación;Bezug, Beziehung
las finanzas;Finanzen, Finanzwesen, Finanzwirtschaft
las ciencias políticas;Politikwisschenschaften
la economía;Wirtschaft
el arte ;Kunst
las humanidades ;Geisteswissenschaften
las bellas artes;Schöne Künste
la historia;Geschichte
el periodismo;Journalismus, Publizistik, Journalistik
la filología;Philologie, Sprachwissenschaft 
portugués/-esa;portugiesisch 
las lenguas modernas;moderne Sprachen
 las ciencias;Naturwissenschaften
la química;Chemie
las matemáticas;Mathematik
la física;Physik
la biología;Biologie
las ciencias de la salud ;Gesundheitswissenschaften
la farmacia;Pharmazie
la medicina;Medizin
 la veterinaria;Tiermedizin
la enfermería;Krankenpflege
la arquitectura;Architektur
e (vor i-, hi-);und
la ingeniería;Ingenieurwesen, Maschinenbau
la ingeniería industrial;Wirtschaftsingenieurwesen, Industrietechnik
la ingeniería civil ;Bauingenieurwesen
el diseño industrial ;Industriedesign
la ingeniería informática;Ingenieurinformatik
la gestión de proyectos;Projektmanagement
¿Qué significa...;Was bedeutet ...? 
más;mehr, weitere
¿Cómo se pronuncia...?;Wie spricht man ... aus?
¿Paella se escribe con elle o con ye?;"Schreibt man Paella mit „l* oder mit „y""?"
¿Qué significa quiero quedarme aquí?;"Was bedeutet „quiero que-darme aquí""?"
¿Se dice niño o ñino con eñe al principio?;"Sagt man niño oder ñino mit „ñ"" am Wortanfang?"
¿En qué página está el ejercicio de la jota?;"Auf welcher Seite ist die Übung mit dem „j""?"
¿Cómo se pronuncia la ce en Cicerón?;Wie spricht man das „c* in Cicerón aus?
Ramiro, ¿es correcta la respuesta?;Ramiro, ist die Antwort richtig?
frases útiles para la clase;nützliche Sätze für den
el mundo;Unterricht
hispanohablante;die spanischsprachige Welt
a la ciudad;Stadt
la persona;Person
la gastronomía;Gastronomie
la música;Musik
el monumento;Monument
la naturaleza;Natur
¿Cómo se escribe? (inf: escribir);Wie schreibt man das?
con sin;mit ohne
el acento;Akzent
 la diéresis;Umlaut
m mayúscula;großes M
m minúscula;kleines M
mis palabras;meine Wörter